Prepostion	Hindi	Punjabi	Telugu	Kannada	Tamil	Assamese	Gujarati	Odia	Marathi	Bengali	Malayalam	Examples
prepostion with object (default) - with nouns												
												
among	के बीच में	ਦੇ ਵਿੱਚ	మధ్యలో 	ನಡುವೆ 	இடையில்	ৰ মাজত	ની  વચ્ચે	ର ମଝିରେ	च्या मध्यभागी	এর মধ্যে 	കൂടെ	she was standing among the trees
pursuant to	के अनुसार	ਦੇ ਅਨੁਸਾਰ	అనుసరించి 	ಅನುಸಾರವಾಗಿ 	படி 	ৰ মতে	ની મુજબ	ର ଅନୁଯାଇ	अनुशंगाने	এর অনুসারে 	പ്രകാരം	A complaint was made pursuant to the rule
with a view to	के लक्ष्य से	ਦੇ ਲਕਸ਼ ਨਾਲ	దృష్టితో	ದೃಷ್ಟಿಯಿಂದ	என்ற நோக்கத்துடன் 	ক লক্ষ ৰাখি	ના ધ્યેય થી	ର ଲକ୍ଷ ରେ		আর জন্ন	ഒരു കാഴ്ചപ്പാടോടെ	starting working on it with a view to solve this problem
less	के अलावा	ਦੇ ਇਲਾਵਾ	తక్కువ 	ಹೊರತು 	தவிர	ৰ বাহিৰে	ના વગર	ର ବଦଳ ରେ	त्याला सोडून	কে ছাড়া 	കുറവ്	We earned two hundred dollars, less travel expenses.
into	में	ਵਿੱਚ	లోన 	ಒಳಗೆ 	உள்ளே	ৰ ভিতৰলৈ	માં	ରେ	मध्ये	ভিতর 	ഉള്ളിലേക്ക് 	as day turns into night
within	के अंदर	ਦੇ ਅੰਦਰ	లోపలకి 	ಒಳಗಡೆ 	உள்ளே	ৰ ভিতৰত	ની અંદર	ର ଭିତରେ	आत	এর ভিতর  	അകത്ത്	They live within the city limits.
while	जब तक	ਜਦ ਤਕ	అయితే	ಆವಾಗ	போது 	যেতিয়ালৈ	જ્યાર સુધી 	ଯେବେ ଯାଏଁ	तेव्हा पर्यंत 	যতক্ষন 	സമയത്ത്	while he was giving a lecture, we slept
mid	के बीच	ਦੇ ਵਿਚਾਲੇ	మధ్యలో 	ಮಧ್ಯ 	மத்தியில் 	ৰ মাজত	મધ્યે	ର ମଝି	मध्ये	এর মধ্যে 	മധ്യ	
down	के निचे	ਦੇ ਥੱਲੇ	దిగువగా	ಕೆಳಗೆ 	கீழே	ৰ তলত	ની નીચે	ର ତଳ	च्या खाली 	এর নীচে 	താഴേക്ക്	He went down the bridge
according to	के अनुसार	ਦੇ ਅਨੁਸਾਰ	ప్రకారము	ಅನುಸಾರವಾಗಿ 	படி 	ৰ মতে	ના મુજબ 	ର ଅନୁଯାଇ	त्या अनुसार 	অনুসারে 	അതുപ്രകാരം	According to science it is possible
anti	के खिलाफ	ਦੇ ਖ਼ਿਲਾਫ਼	హరింపచేసి 	ವಿರೋಧಿ 	எதிராக	ৰ বিপৰিতে	ની વિરુદ્ધ	ର ବିରୁଦ୍ଧ ରେ	च्या विरुद्ध 	এর বিপরীতে 	വിരുദ്ധം	Anup is anti Akshay
