	Unicode-Hindi	Hindi	Unicode-Punjabi	Punjabi	Unicode-Gujarati	Gujarati	Unicode-Marathi	Marathi	Unicode-Kannada	Kannada	Unicode-Telugu	Telugu	Unicode-Tamil	Tamil	Unicode-Malayalam	Malayalam	Unicode-Oriya	Oriya	Unicode-Assamese	Assamese	Unicode-Bengali	Bengali
M	0x901	ँ	0xA01	ਁ	0xA81	ઁ	0x901	ँ	0xC81	-	0xC01	ఁ	0xB81	-	0D01	-	0x0B01	ଁ	0x981	ঁ	0x981	ঁ
x	0x902	ं	0xA02	ਂ	0xA82	ં	0x902	ं	0xC82	ಂ	0xC02	ం 	0xB82	 ஂ	0D02	ം	0x0B02	ଂ	0x982	ং	0x982	ং
X	0x903	ः	0xA03	ਃ	0xA83	ઃ	0x903	ः	0xC83	ಃ	0xC03	ః	0xB83	ஃ 	0D03	ഃ	0x0B03	ଃ	0x983	ঃ	0x983	ঃ
a	0x905	अ	0xA05	ਅ	0xA85	અ	0x905	अ	0xC85	ಅ 	0xC05	అ	0xB85	அ 	0D05	അ	0x0B05	ଅ	0x985	অ	0x985	অ
A	0x906	आ	0xA06	ਆ	0xA86	આ	0x906	आ	0xC86	ಆ 	0xC06	ఆ 	0xB86	#ERROR!	0D06	ആ	0x0B06	ଆ	0x986	আ	0x986	আ
i	0x907	इ	0xA07	ਇ	0xA87	ઇ	0x907	इ	0xC87	ಇ 	0xC07	ఇ	0xB87	இ 	0D07	ഇ	0x0B07	ଇ	0x987	ই	0x987	ই
I	0x908	ई	0xA08	ਈ	0xA88	ઈ	0x908	ई	0xC88	ಈ 	0xC08	ఈ	0xB88	ஈ 	0D08	ഈ	0x0B08	ଈ	0x988	ঈ	0x988	ঈ
u	0x909	उ	0xA09	ਉ	0xA89	ઉ	0x909	उ	0xC89	ಉ 	0xC09	ఉ 	0xB89	உ 	0D09	ഉ	0x0B09	ଉ	0x989	উ	0x989	উ
U	0x90A	ऊ	0xA0A	ਊ	0xA8A	ઊ	0x90A	ऊ	0xC8A	ಊ 	0xC0A	ఊ 	0xB8A	ஊ 	0D0A	ഊ	0x0B0A	ଊ	0x98A	ঊ	0x98A	ঊ
WR	0x90B	ऋ	0xA0B	-	0xA8B	ઋ	0x90B	ऋ	0xC8B	ಋ 	0xC0B	ఋ	0xB8B	-	0D0B	ഋ	0x0B0B	ଋ	0x98B	ঋ	0x98B	ঋ
WD	0x90C		0xA0C	-	0xA8C	ઌ	0x90C		0xC8C	-	0xC0C	-	0xB8C			-	0x0B0C	ଌ	0x98C	-	0x98C	-
WA	0x90D	ऍ	0xA0D	-	0xA8D	ઍ	0x90D	ऍ	0xC8D	-	0xC0D	-	0xB8D	-		-	0x0B0D	-	0x98D	-	0x98D	-
e	0x90E	ऎ	0xA0E	-			0x90E		0xC8E	ಎ 	0xC0E	ఎ	0xB8E	எ 	0D0E	എ	0x0B0E	-	0x98E	-	0x98E	-
E	0x90F	ए	0xA0F	ਏ			0x90F	ए	0xC8F	ಏ 	0xC0F	ఏ 	0xB8F	ஏ 	0D0F	ഏ	0x0B0F	ଏ	0x98F	এ	0x98F	এ
YE	0x910	ऐ	0xA10	ਐ	0xA8F	એ	0x910	ऐ	0xC90	ಐ 	0xC10	ఐ	0xB90	ஐ 	0D10	ഐ	0x0B10	ଐ	0x990	ঐ	0x990	ঐ
WO	0x911	ऑ	0xA11		0xA90	ઐ	0x911	ऑ	0xC91	-	0xC11	-	0xB91	-		-	0x0B11	-	0x991	-	0x991	-
o	0x912	ऒ	0xA12		0xA91	ઑ	0x912		0xC92	ಒ 	0xC12	ఒ 	0xB92	ஒ 	0D12	ഒ	0x0B12	-	0x992	-	0x992	-
O	0x913	ओ	0xA13	ਓ	0xA93	ઓ	0x913	ओ	0xC93	ಓ 	0xC13	ఓ 	0xB93	ஓ 	0D13	ഓ	0x0B13	ଓ	0x993	ও	0x993	ও
YO	0x914	औ	0xA14	ਔ	0xA94	ઔ	0x914	औ	0xC94	ಔ 	0xC14	ఔ	0xB94	ஒள 	0D14	ഔ	0x0B14	ଔ	0x994	ঔ	0x994	ঔ
k	0x915	क	0xA15	ਕ	0xA95	ક	0x915	क	0xC95	ಕ 	0xC15	క	0xB95	க 	0D15	ക	0x0B15	କ    	0x995	ক	0x995	ক
K	0x916	ख	0xA16	ਖ	0xA96	ખ	0x916	ख	0xC96	ಖ 	0xC16	ఖ	0xB96	-	0D16	ഖ	0x0B16	ଖ	0x996	খ	0x996	খ
g	0x917	ग	0xA17	ਗ	0xA97	ગ	0x917	ग	0xC97	ಗ 	0xC17	గ 	0xB97	-	0D17	ഗ	0x0B17	ଗ	0x997	গ	0x997	গ
G	0x918	घ	0xA18	ਘ	0xA98	ઘ	0x918	घ	0xC98	ಘ 	0xC18	ఘ	0xB98	-	0D18	ഘ	0x0B18	ଘ	0x998	ঘ	0x998	ঘ
z	0x919	ङ	0xA19	ਙ	0xA99	ઙ	0x919	ङ	0xC99	ಙ	0xC19	ఙ	0xB99	ங 	0D19	ങ	0x0B19	ଙ	0x999	ঙ	0x999	ঙ
c	0x91A	च	0xA1A	ਚ	0xA9A	ચ	0x91A	च	0xC9A	ಚ 	0xC1A	చ	0xB9A	ச 	0D1A	ച	0x0B1A	ଚ	0x99A	চ	0x99A	চ
C	0x91B	छ	0xA1B	ਛ	0xA9B	છ	0x91B	छ	0xC9B	ಛ 	0xC1B	ఛ	0xB9B	-	0D1B	ഛ	0x0B1B	ଛ	0x99B	ছ	0x99B	ছ
j	0x91C	ज	0xA1C	ਜ	0xA9C	જ	0x91C	ज	0xC9C	ಜ 	0xC1C	జ	0xB9C	ஜ 	0D1C	ജ	0x0B1C	ଜ	0x99C	জ	0x99C	জ
J	0x91D	झ	0xA1D	ਝ	0xA9D	ઝ	0x91D	झ	0xC9D	ಝ 	0xC1D	ఝ	0xB9D	-	0D1D	ഝ	0x0B1D	ଝ	0x99D	ঝ	0x99D	ঝ
Z	0x91E	ञ	0xA1E	ਞ	0xA9E	ઞ	0x91E	ञ	0xC9E	ಞ	0xC1E	ఞ	0xB9E	ஞ 	0D1E	ഞ	0x0B1E	ଞ	0x99E	ঞ	0x99E	ঞ
T	0x91F	ट	0xA1F	ਟ	0xA9F	ટ	0x91F	ट	0xC9F	ಟ 	0xC1F	ట	0xB9F	ட 	0D1F	ട	0x0B1F	ଟ	0x99F	ট	0x99F	ট
HT	0x920	ठ	0xA20	ਠ	0xAA0	ઠ	0x920	ठ	0xCA0	ಠ 	0xC20	ఠ	0xBA0	-	0D20	ഠ	0x0B20	ଠ	0x9A0	ঠ	0x9A0	ঠ
D	0x921	ड	0xA21	ਡ	0xAA1	ડ	0x921	ड	0xCA1	ಡ 	0xC21	డ	0xBA1	-	0D21	ഡ	0x0B21	ଡ	0x9A1	ড	0x9A1	ড
HD	0x922	ढ	0xA22	ਢ	0xAA2	ઢ	0x922	ढ	0xCA2	ಢ 	0xC22	ఢ	0xBA2	-	0D22	ഢ	0x0B22	ଢ	0x9A2	ঢ	0x9A2	ঢ
N	0x923	ण	0xA23	ਣ	0xAA3	ણ	0x923	ण	0xCA3	ಣ 	0xC23	ణ	0xBA3	ண 	0D23	ണ	0x0B23	ଣ	0x9A3	ণ	0x9A3	ণ
